 SOUID,    DATE,   HU, Q_HU
101002,19200725,   38,    0
101002,19200726,   40,    0
101002,19200727,   50,    0
101002,19200728,   44,    0
101002,19200729,   34,    0
101002,19200730,   41,    0
101002,19200731,   32,    0
101002,19200801,   35,    0
101002,19200802,-9999,    9
101002,19200803,-9999,    9
101002,19200804,   43,    0
101002,19200805,   36,    0
101002,19200806,   42,    0
101002,19200807,   45,    0
101002,19200808,   38,    0
101002,19200809,-9999,    9
101002,19200810,   44,    0
101002,19200811,   43,    0
101002,19200812,   35,    0
101002,19200813,   38,    0
101002,19200814,   40,    0
101002,19200815,   45,    0
101002,19200816,   53,    0
101002,19200817,   45,    0
101002,19200818,   50,    0
101002,19200819,   46,    0
101002,19200820,   51,    0
101002,19200821,   58,    0
101002,19200822,   54,    0
101002,19200823,   48,    0
101002,19200824,   48,    0
101002,19200825,   51,    0
101002,19200826,   52,    0
101002,19200827,   54,    0
101002,19200828,   42,    0
101002,19200829,   38,    0
101002,19200830,-9999,    9
101002,19200831,   44,    0
101002,19200901,   49,    0
101002,19200902,   50,    0
101002,19200903,   55,    0
101002,19200904,   60,    0
101002,19200905,   58,    0
101002,19200906,-9999,    9
101002,19200907,   41,    0
101002,19200908,   50,    0
101002,19200909,   72,    0
101002,19200910,   62,    0
101002,19200911,   67,    0
101002,19200912,   62,    0
101002,19200913,   62,    0
101002,19200914,   58,    0
101002,19200915,   49,    0
101002,19200916,   46,    0
101002,19200917,   52,    0
101002,19200918,-9999,    9
101002,19200919,-9999,    9
101002,19200920,   67,    0
101002,19200921,   60,    0
101002,19200922,   65,    0
101002,19200923,   56,    0
101002,19200924,   58,    0
101002,19200925,   50,    0
101002,19200926,   46,    0
101002,19200927,   55,    0
101002,19200928,   56,    0
101002,19200929,   66,    0
101002,19200930,   80,    0
101002,19201001,   70,    0
101002,19201002,-9999,    9
101002,19201003,-9999,    9
101002,19201004,   72,    0
101002,19201005,   87,    0
101002,19201006,   91,    0
101002,19201007,-9999,    9
101002,19201008,   90,    0
101002,19201009,   90,    0
101002,19201010,   88,    0
101002,19201011,   87,    0
101002,19201012,   93,    0
101002,19201013,   92,    0
101002,19201014,   87,    0
101002,19201015,   83,    0
101002,19201016,   88,    0
101002,19201017,   78,    0
101002,19201018,   77,    0
101002,19201019,   74,    0
101002,19201020,   92,    0
101002,19201021,   90,    0
101002,19201022,   72,    0
101002,19201023,   79,    0
101002,19201024,   96,    0
101002,19201025,   85,    0
101002,19201026,   84,    0
101002,19201027,   85,    0
101002,19201028,   94,    0
101002,19201029,   94,    0
101002,19201030,   94,    0
101002,19201031,   90,    0
101002,19201101,   84,    0
101002,19201102,   78,    0
101002,19201103,   64,    0
101002,19201104,   91,    0
101002,19201105,   92,    0
101002,19201106,   84,    0
101002,19201107,   82,    0
101002,19201108,   82,    0
101002,19201109,   79,    0
101002,19201110,   90,    0
101002,19201111,   90,    0
101002,19201112,   84,    0
101002,19201113,   84,    0
101002,19201114,   89,    0
101002,19201115,   88,    0
101002,19201116,   90,    0
101002,19201117,   90,    0
101002,19201118,   86,    0
101002,19201119,   80,    0
101002,19201120,   82,    0
101002,19201121,   86,    0
101002,19201122,   90,    0
101002,19201123,   78,    0
101002,19201124,   89,    0
101002,19201125,   92,    0
101002,19201126,   92,    0
101002,19201127,   91,    0
101002,19201128,   78,    0
101002,19201129,   92,    0
101002,19201130,   98,    0
101002,19201201,-9999,    9
101002,19201202,   96,    0
101002,19201203,   94,    0
101002,19201204,   77,    0
101002,19201205,   74,    0
101002,19201206,   66,    0
101002,19201207,   81,    0
101002,19201208,   80,    0
101002,19201209,   82,    0
101002,19201210,   92,    0
101002,19201211,   89,    0
101002,19201212,   88,    0
101002,19201213,   96,    0
101002,19201214,   87,    0
101002,19201215,   82,    0
101002,19201216,   83,    0
101002,19201217,   84,    0
101002,19201218,   64,    0
101002,19201219,   81,    0
101002,19201220,   85,    0
101002,19201221,   92,    0
101002,19201222,   80,    0
101002,19201223,   96,    0
101002,19201224,   94,    0
101002,19201225,   85,    0
101002,19201226,   72,    0
101002,19201227,   97,    0
101002,19201228,   98,    0
101002,19201229,   96,    0
101002,19201230,   88,    0
101002,19201231,   99,    0
101002,19210101,   92,    0
101002,19210102,   91,    0
101002,19210103,   97,    0
101002,19210104,  100,    0
101002,19210105,   92,    0
101002,19210106,   78,    0
101002,19210107,   93,    0
101002,19210108,   94,    0
101002,19210109,   90,    0
101002,19210110,   90,    0
101002,19210111,   98,    0
101002,19210112,   93,    0
101002,19210113,   88,    0
101002,19210114,   70,    0
101002,19210115,   71,    0
101002,19210116,   61,    0
101002,19210117,   48,    0
101002,19210118,   78,    0
101002,19210119,   84,    0
101002,19210120,   60,    0
101002,19210121,   60,    0
101002,19210122,   72,    0
101002,19210123,   67,    0
101002,19210124,   70,    0
101002,19210125,   78,    0
101002,19210126,   92,    0
101002,19210127,   80,    0
101002,19210128,   67,    0
101002,19210129,   68,    0
101002,19210130,   86,    0
101002,19210131,   78,    0
101002,19210201,   78,    0
101002,19210202,   90,    0
101002,19210203,   88,    0
101002,19210204,   96,    0
101002,19210205,   64,    0
101002,19210206,   74,    0
101002,19210207,   77,    0
101002,19210208,   76,    0
101002,19210209,   60,    0
101002,19210210,   66,    0
101002,19210211,   71,    0
101002,19210212,   67,    0
101002,19210213,   62,    0
101002,19210214,   83,    0
101002,19210215,-9999,    9
101002,19210216,   62,    0
101002,19210217,   95,    0
101002,19210218,   89,    0
101002,19210219,   89,    0
101002,19210220,   80,    0
101002,19210221,   87,    0
101002,19210222,   88,    0
101002,19210223,   81,    0
101002,19210224,   73,    0
101002,19210225,   84,    0
101002,19210226,   94,    0
101002,19210227,   92,    0
101002,19210228,   78,    0
101002,19210301,   70,    0
101002,19210302,   55,    0
101002,19210303,   63,    0
101002,19210304,   58,    0
101002,19210305,   73,    0
101002,19210306,   84,    0
101002,19210307,   81,    0
101002,19210308,   66,    0
101002,19210309,   56,    0
101002,19210310,   69,    0
101002,19210311,   79,    0
101002,19210312,   70,    0
101002,19210313,   83,    0
101002,19210314,   92,    0
101002,19210315,   60,    0
101002,19210316,   58,    0
101002,19210317,   61,    0
101002,19210318,   61,    0
101002,19210319,   54,    0
101002,19210320,   56,    0
101002,19210321,   51,    0
101002,19210322,   54,    0
101002,19210323,   53,    0
101002,19210324,   55,    0
101002,19210325,   45,    0
101002,19210326,   55,    0
101002,19210327,   52,    0
101002,19210328,   54,    0
101002,19210329,   69,    0
101002,19210330,   86,    0
101002,19210331,   74,    0
101002,19210401,   61,    0
101002,19210402,   77,    0
101002,19210403,   72,    0
101002,19210404,   54,    0
101002,19210405,   54,    0
101002,19210406,   52,    0
101002,19210407,   50,    0
101002,19210408,   44,    0
101002,19210409,   59,    0
101002,19210410,   72,    0
101002,19210411,   68,    0
101002,19210412,   79,    0
101002,19210413,   66,    0
101002,19210414,   63,    0
101002,19210415,   64,    0
101002,19210416,   40,    0
101002,19210417,   41,    0
101002,19210418,   43,    0
101002,19210419,   43,    0
101002,19210420,   41,    0
101002,19210421,   39,    0
101002,19210422,   35,    0
101002,19210423,   41,    0
101002,19210424,   52,    0
101002,19210425,   47,    0
101002,19210426,   46,    0
101002,19210427,   44,    0
101002,19210428,   44,    0
101002,19210429,   49,    0
101002,19210430,   44,    0
101002,19210501,   48,    0
101002,19210502,   40,    0
101002,19210503,   42,    0
101002,19210504,   54,    0
101002,19210505,   58,    0
101002,19210506,   57,    0
101002,19210507,   62,    0
101002,19210508,   73,    0
101002,19210509,   51,    0
101002,19210510,   54,    0
101002,19210511,   63,    0
101002,19210512,   63,    0
101002,19210513,   68,    0
101002,19210514,   60,    0
101002,19210515,   67,    0
101002,19210516,   74,    0
101002,19210517,   69,    0
101002,19210518,   81,    0
101002,19210519,   86,    0
101002,19210520,   83,    0
101002,19210521,   74,    0
101002,19210522,   84,    0
101002,19210523,   94,    0
101002,19210524,   86,    0
101002,19210525,   75,    0
101002,19210526,   89,    0
101002,19210527,   83,    0
101002,19210528,   70,    0
101002,19210529,   57,    0
101002,19210530,   61,    0
101002,19210531,-9999,    9
101002,19210601,-9999,    9
101002,19210602,-9999,    9
101002,19210603,-9999,    9
101002,19210604,-9999,    9
101002,19210605,-9999,    9
101002,19210606,-9999,    9
101002,19210607,-9999,    9
101002,19210608,-9999,    9
101002,19210609,-9999,    9
101002,19210610,-9999,    9
101002,19210611,-9999,    9
101002,19210612,-9999,    9
101002,19210613,-9999,    9
101002,19210614,-9999,    9
101002,19210615,-9999,    9
101002,19210616,-9999,    9
101002,19210617,-9999,    9
101002,19210618,-9999,    9
101002,19210619,-9999,    9
101002,19210620,-9999,    9
101002,19210621,-9999,    9
101002,19210622,-9999,    9
101002,19210623,-9999,    9
101002,19210624,-9999,    9
101002,19210625,-9999,    9
101002,19210626,-9999,    9
101002,19210627,-9999,    9
101002,19210628,-9999,    9
101002,19210629,-9999,    9
101002,19210630,-9999,    9
101002,19210701,-9999,    9
101002,19210702,-9999,    9
101002,19210703,-9999,    9
101002,19210704,-9999,    9
101002,19210705,-9999,    9
101002,19210706,-9999,    9
101002,19210707,-9999,    9
101002,19210708,-9999,    9
101002,19210709,-9999,    9
101002,19210710,-9999,    9
101002,19210711,-9999,    9
101002,19210712,-9999,    9
101002,19210713,-9999,    9
101002,19210714,-9999,    9
101002,19210715,-9999,    9
101002,19210716,-9999,    9
101002,19210717,-9999,    9
101002,19210718,-9999,    9
101002,19210719,-9999,    9
101002,19210720,-9999,    9
101002,19210721,-9999,    9
101002,19210722,-9999,    9
101002,19210723,-9999,    9
101002,19210724,-9999,    9
101002,19210725,-9999,    9
101002,19210726,-9999,    9
101002,19210727,-9999,    9
101002,19210728,-9999,    9
101002,19210729,-9999,    9
101002,19210730,-9999,    9
101002,19210731,-9999,    9
101002,19210801,-9999,    9
101002,19210802,-9999,    9
101002,19210803,-9999,    9
101002,19210804,-9999,    9
101002,19210805,-9999,    9
101002,19210806,-9999,    9
101002,19210807,-9999,    9
101002,19210808,-9999,    9
101002,19210809,-9999,    9
101002,19210810,-9999,    9
101002,19210811,-9999,    9
101002,19210812,-9999,    9
101002,19210813,-9999,    9
101002,19210814,-9999,    9
101002,19210815,-9999,    9
101002,19210816,-9999,    9
101002,19210817,-9999,    9
101002,19210818,-9999,    9
101002,19210819,-9999,    9
101002,19210820,-9999,    9
101002,19210821,-9999,    9
101002,19210822,-9999,    9
101002,19210823,-9999,    9
101002,19210824,-9999,    9
101002,19210825,-9999,    9
101002,19210826,-9999,    9
101002,19210827,-9999,    9
101002,19210828,-9999,    9
101002,19210829,-9999,    9
101002,19210830,-9999,    9
101002,19210831,-9999,    9
101002,19210901,-9999,    9
101002,19210902,-9999,    9
101002,19210903,-9999,    9
101002,19210904,-9999,    9
101002,19210905,-9999,    9
101002,19210906,-9999,    9
101002,19210907,-9999,    9
101002,19210908,-9999,    9
101002,19210909,-9999,    9
101002,19210910,-9999,    9
101002,19210911,-9999,    9
101002,19210912,-9999,    9
101002,19210913,-9999,    9
101002,19210914,-9999,    9
101002,19210915,-9999,    9
101002,19210916,-9999,    9
101002,19210917,-9999,    9
101002,19210918,-9999,    9
101002,19210919,-9999,    9
101002,19210920,-9999,    9
101002,19210921,-9999,    9
101002,19210922,-9999,    9
101002,19210923,-9999,    9
101002,19210924,-9999,    9
101002,19210925,-9999,    9
101002,19210926,-9999,    9
101002,19210927,-9999,    9
101002,19210928,-9999,    9
101002,19210929,-9999,    9
101002,19210930,-9999,    9
101002,19211001,-9999,    9
101002,19211002,-9999,    9
101002,19211003,-9999,    9
101002,19211004,-9999,    9
101002,19211005,-9999,    9
101002,19211006,-9999,    9
101002,19211007,-9999,    9
101002,19211008,-9999,    9
101002,19211009,-9999,    9
101002,19211010,-9999,    9
101002,19211011,-9999,    9
101002,19211012,-9999,    9
101002,19211013,-9999,    9
101002,19211014,-9999,    9
101002,19211015,-9999,    9
101002,19211016,-9999,    9
101002,19211017,-9999,    9
101002,19211018,-9999,    9
101002,19211019,-9999,    9
101002,19211020,-9999,    9
101002,19211021,-9999,    9
101002,19211022,-9999,    9
101002,19211023,-9999,    9
101002,19211024,-9999,    9
101002,19211025,-9999,    9
101002,19211026,-9999,    9
101002,19211027,-9999,    9
101002,19211028,-9999,    9
101002,19211029,-9999,    9
101002,19211030,-9999,    9
101002,19211031,-9999,    9
101002,19211101,-9999,    9
101002,19211102,-9999,    9
101002,19211103,-9999,    9
101002,19211104,-9999,    9
101002,19211105,-9999,    9
101002,19211106,-9999,    9
101002,19211107,-9999,    9
101002,19211108,-9999,    9
101002,19211109,-9999,    9
101002,19211110,-9999,    9
101002,19211111,-9999,    9
101002,19211112,-9999,    9
101002,19211113,-9999,    9
101002,19211114,-9999,    9
101002,19211115,-9999,    9
101002,19211116,-9999,    9
101002,19211117,-9999,    9
101002,19211118,-9999,    9
101002,19211119,-9999,    9
101002,19211120,-9999,    9
101002,19211121,-9999,    9
101002,19211122,-9999,    9
101002,19211123,-9999,    9
101002,19211124,-9999,    9
101002,19211125,-9999,    9
101002,19211126,-9999,    9
101002,19211127,-9999,    9
101002,19211128,-9999,    9
101002,19211129,-9999,    9
101002,19211130,-9999,    9
101002,19211201,-9999,    9
101002,19211202,-9999,    9
101002,19211203,-9999,    9
101002,19211204,-9999,    9
101002,19211205,-9999,    9
101002,19211206,-9999,    9
101002,19211207,-9999,    9
101002,19211208,-9999,    9
101002,19211209,-9999,    9
101002,19211210,-9999,    9
101002,19211211,-9999,    9
101002,19211212,-9999,    9
101002,19211213,-9999,    9
101002,19211214,-9999,    9
101002,19211215,-9999,    9
101002,19211216,-9999,    9
101002,19211217,-9999,    9
101002,19211218,-9999,    9
101002,19211219,-9999,    9
101002,19211220,-9999,    9
101002,19211221,-9999,    9
101002,19211222,-9999,    9
101002,19211223,-9999,    9
101002,19211224,-9999,    9
101002,19211225,-9999,    9
101002,19211226,-9999,    9
101002,19211227,-9999,    9
101002,19211228,-9999,    9
101002,19211229,-9999,    9
101002,19211230,-9999,    9
101002,19211231,-9999,    9
101002,19220101,   72,    0
101002,19220102,   74,    0
101002,19220103,   75,    0
101002,19220104,   60,    0
101002,19220105,-9999,    9
101002,19220106,-9999,    9
101002,19220107,   70,    0
101002,19220108,   79,    0
101002,19220109,   77,    0
101002,19220110,   65,    0
101002,19220111,   58,    0
101002,19220112,   64,    0
101002,19220113,   56,    0
101002,19220114,   68,    0
101002,19220115,   58,    0
101002,19220116,   79,    0
101002,19220117,   72,    0
101002,19220118,   74,    0
101002,19220119,   98,    0
101002,19220120,   76,    0
101002,19220121,   88,    0
101002,19220122,   96,    0
101002,19220123,   91,    0
101002,19220124,   95,    0
101002,19220125,   93,    0
101002,19220126,-9999,    9
101002,19220127,   95,    0
101002,19220128,   88,    0
101002,19220129,   88,    0
101002,19220130,   92,    0
101002,19220131,   88,    0
101002,19220201,   70,    0
101002,19220202,   90,    0
101002,19220203,   92,    0
101002,19220204,   90,    0
101002,19220205,-9999,    9
101002,19220206,   58,    0
101002,19220207,   71,    0
101002,19220208,   62,    0
101002,19220209,   68,    0
101002,19220210,   86,    0
101002,19220211,   81,    0
101002,19220212,   81,    0
101002,19220213,-9999,    9
101002,19220214,   72,    0
101002,19220215,   78,    0
101002,19220216,   71,    0
101002,19220217,   79,    0
101002,19220218,   76,    0
101002,19220219,   72,    0
101002,19220220,   80,    0
101002,19220221,   80,    0
101002,19220222,   68,    0
101002,19220223,   78,    0
101002,19220224,   76,    0
101002,19220225,   70,    0
101002,19220226,   64,    0
101002,19220227,   63,    0
101002,19220228,   74,    0
101002,19220301,   74,    0
101002,19220302,-9999,    9
101002,19220303,-9999,    9
101002,19220304,   61,    0
101002,19220305,-9999,    9
101002,19220306,-9999,    9
101002,19220307,-9999,    9
101002,19220308,-9999,    9
101002,19220309,   78,    0
101002,19220310,-9999,    9
101002,19220311,-9999,    9
101002,19220312,-9999,    9
101002,19220313,-9999,    9
101002,19220314,   80,    0
101002,19220315,   86,    0
101002,19220316,   86,    0
101002,19220317,   83,    0
101002,19220318,   90,    0
101002,19220319,-9999,    9
101002,19220320,-9999,    9
101002,19220321,-9999,    9
101002,19220322,-9999,    9
101002,19220323,   62,    0
101002,19220324,-9999,    9
101002,19220325,   66,    0
101002,19220326,-9999,    9
101002,19220327,-9999,    9
101002,19220328,-9999,    9
101002,19220329,-9999,    9
101002,19220330,-9999,    9
101002,19220331,   74,    0
101002,19220401,-9999,    9
101002,19220402,   78,    0
101002,19220403,   84,    0
101002,19220404,   89,    0
101002,19220405,   84,    0
101002,19220406,   72,    0
101002,19220407,   72,    0
101002,19220408,   60,    0
101002,19220409,   54,    0
101002,19220410,   65,    0
101002,19220411,   71,    0
101002,19220412,   70,    0
101002,19220413,   72,    0
101002,19220414,   52,    0
101002,19220415,   83,    0
101002,19220416,   58,    0
101002,19220417,   52,    0
101002,19220418,   49,    0
101002,19220419,   47,    0
101002,19220420,   55,    0
101002,19220421,   60,    0
101002,19220422,   50,    0
101002,19220423,   52,    0
101002,19220424,   45,    0
101002,19220425,   45,    0
101002,19220426,   47,    0
101002,19220427,   68,    0
101002,19220428,   51,    0
101002,19220429,-9999,    9
101002,19220430,   60,    0
101002,19220501,   64,    0
101002,19220502,   59,    0
101002,19220503,   56,    0
101002,19220504,   52,    0
101002,19220505,   54,    0
101002,19220506,   55,    0
101002,19220507,   57,    0
101002,19220508,   43,    0
101002,19220509,   40,    0
101002,19220510,   37,    0
101002,19220511,   36,    0
101002,19220512,   68,    0
101002,19220513,   80,    0
101002,19220514,   78,    0
101002,19220515,   70,    0
101002,19220516,   59,    0
101002,19220517,   61,    0
101002,19220518,   72,    0
101002,19220519,   54,    0
101002,19220520,   48,    0
101002,19220521,   37,    0
101002,19220522,   32,    0
101002,19220523,   34,    0
101002,19220524,   38,    0
101002,19220525,   38,    0
101002,19220526,   37,    0
101002,19220527,   41,    0
101002,19220528,   42,    0
101002,19220529,   41,    0
101002,19220530,   42,    0
101002,19220531,   70,    0
101002,19220601,   66,    0
101002,19220602,   73,    0
101002,19220603,   79,    0
101002,19220604,   65,    0
101002,19220605,-9999,    9
101002,19220606,   80,    0
101002,19220607,   66,    0
101002,19220608,   66,    0
101002,19220609,   82,    0
101002,19220610,   77,    0
101002,19220611,   78,    0
101002,19220612,   60,    0
101002,19220613,   56,    0
101002,19220614,   60,    0
101002,19220615,   50,    0
101002,19220616,   84,    0
101002,19220617,   78,    0
101002,19220618,   64,    0
101002,19220619,   56,    0
101002,19220620,   64,    0
101002,19220621,   54,    0
101002,19220622,   45,    0
101002,19220623,   47,    0
101002,19220624,   48,    0
101002,19220625,   31,    0
101002,19220626,   42,    0
101002,19220627,   35,    0
101002,19220628,   40,    0
101002,19220629,   52,    0
101002,19220630,   53,    0
101002,19220701,-9999,    9
101002,19220702,-9999,    9
101002,19220703,-9999,    9
101002,19220704,-9999,    9
101002,19220705,-9999,    9
101002,19220706,-9999,    9
101002,19220707,-9999,    9
101002,19220708,-9999,    9
101002,19220709,-9999,    9
101002,19220710,-9999,    9
101002,19220711,-9999,    9
101002,19220712,-9999,    9
101002,19220713,-9999,    9
101002,19220714,-9999,    9
101002,19220715,-9999,    9
101002,19220716,-9999,    9
101002,19220717,-9999,    9
101002,19220718,-9999,    9
101002,19220719,-9999,    9
101002,19220720,-9999,    9
101002,19220721,-9999,    9
101002,19220722,-9999,    9
101002,19220723,-9999,    9
101002,19220724,-9999,    9
101002,19220725,-9999,    9
101002,19220726,-9999,    9
101002,19220727,-9999,    9
101002,19220728,-9999,    9
101002,19220729,-9999,    9
101002,19220730,-9999,    9
101002,19220731,-9999,    9
101002,19220801,   52,    0
101002,19220802,   43,    0
101002,19220803,   44,    0
101002,19220804,   44,    0
101002,19220805,   35,    0
101002,19220806,   36,    0
101002,19220807,   47,    0
101002,19220808,   43,    0
101002,19220809,   37,    0
101002,19220810,   35,    0
101002,19220811,   35,    0
101002,19220812,   58,    0
101002,19220813,   52,    0
101002,19220814,   69,    0
101002,19220815,   56,    0
101002,19220816,   48,    0
101002,19220817,   53,    0
101002,19220818,   46,    0
101002,19220819,   46,    0
101002,19220820,   40,    0
101002,19220821,   42,    0
101002,19220822,   41,    0
101002,19220823,   46,    0
101002,19220824,   43,    0
101002,19220825,   43,    0
101002,19220826,   53,    0
101002,19220827,   67,    0
101002,19220828,   73,    0
101002,19220829,   72,    0
101002,19220830,   75,    0
101002,19220831,   67,    0
101002,19220901,-9999,    9
101002,19220902,   54,    0
101002,19220903,   54,    0
101002,19220904,-9999,    9
101002,19220905,   59,    0
101002,19220906,   54,    0
101002,19220907,   62,    0
101002,19220908,   60,    0
101002,19220909,   66,    0
101002,19220910,   84,    0
101002,19220911,   78,    0
101002,19220912,   70,    0
101002,19220913,   81,    0
101002,19220914,   76,    0
101002,19220915,   60,    0
101002,19220916,   70,    0
101002,19220917,   62,    0
101002,19220918,   61,    0
101002,19220919,   54,    0
101002,19220920,   54,    0
101002,19220921,   46,    0
101002,19220922,   42,    0
101002,19220923,   47,    0
101002,19220924,   64,    0
101002,19220925,-9999,    9
101002,19220926,   73,    0
101002,19220927,   88,    0
101002,19220928,   73,    0
101002,19220929,   59,    0
101002,19220930,   59,    0
101002,19221001,   55,    0
101002,19221002,   58,    0
101002,19221003,   57,    0
101002,19221004,   56,    0
101002,19221005,   50,    0
101002,19221006,   50,    0
101002,19221007,   56,    0
101002,19221008,   62,    0
101002,19221009,   68,    0
101002,19221010,   55,    0
101002,19221011,   64,    0
101002,19221012,   74,    0
101002,19221013,   61,    0
101002,19221014,   69,    0
101002,19221015,   90,    0
101002,19221016,-9999,    9
101002,19221017,-9999,    9
101002,19221018,   94,    0
101002,19221019,-9999,    9
101002,19221020,-9999,    9
101002,19221021,-9999,    9
101002,19221022,   90,    0
101002,19221023,   86,    0
101002,19221024,   90,    0
101002,19221025,   75,    0
101002,19221026,   85,    0
101002,19221027,   93,    0
101002,19221028,   92,    0
101002,19221029,-9999,    9
101002,19221030,-9999,    9
101002,19221031,-9999,    9
101002,19221101,-9999,    9
101002,19221102,-9999,    9
101002,19221103,-9999,    9
101002,19221104,-9999,    9
101002,19221105,-9999,    9
101002,19221106,-9999,    9
101002,19221107,-9999,    9
101002,19221108,-9999,    9
101002,19221109,-9999,    9
101002,19221110,-9999,    9
101002,19221111,-9999,    9
101002,19221112,-9999,    9
101002,19221113,-9999,    9
